school,number_applicants,accept_rate,sat_25_75,act_25_75,act_25th,act_75th,sat_25th,sat_75th
Stanford University,47452,4.3,1440-1570,32-35,32.0,35.0,1440.0,1570.0
Harvard College,42749,4.7,1460-1580,33-35,33.0,35.0,1460.0,1580.0
Princeton University,35370,5.5,1440-1570,32-35,32.0,35.0,1440.0,1570.0
Columbia University,40203,5.5,1450-1560,33-35,33.0,35.0,1450.0,1560.0
Yale University,36844,6.1,1460-1570,33-35,33.0,35.0,1460.0,1570.0
California Institute of Technology,8367,6.4,​​ 1530-1560,35-36,35.0,36.0,1530.0,1560.0
Massachusetts Institute of Technology,21706,6.7,​​ 1500-1570,34-36,34.0,36.0,1500.0,1570.0
Brown University,38674,7.1,​​ 1440-1570,33-35,33.0,35.0,1440.0,1570.0
University of Chicago,32283,7.3,​​ 1490-1570,33-35,33.0,35.0,1490.0,1570.0
Pomona College,10401,7.4,1390-1540,32-35,32.0,35.0,1390.0,1540.0
University of Pennsylvania,44961,7.7,1450-1560,33-35,33.0,35.0,1450.0,1560.0
Dartmouth College,23650,7.9,1440-1560,32-35,32.0,35.0,1440.0,1560.0
Bowdoin College,9332,8.8,1330-1520,31-34,31.0,34.0,1330.0,1520.0
Duke University,35767,8.9,1450-1570,33-35,33.0,35.0,1450.0,1570.0
Swarthmore College,11442,8.9,1380-1540,31-35,31.0,35.0,1380.0,1540.0
Northwestern University,40585,9.1,1440-1550,33-35,33.0,35.0,1440.0,1550.0
Vanderbilt University,37310,9.1,1460-1560,33-35,33.0,35.0,1460.0,1560.0
Claremont McKenna College,6066,10.3,1360-1510,31-34,31.0,34.0,1360.0,1510.0
Johns Hopkins University,29129,10.6,1470-1560,33-35,33.0,35.0,1470.0,1560.0
Cornell University,49114,10.9,1400-1560,32-35,32.0,35.0,1400.0,1560.0
Rice University,20923,11.1,1450-1560,33-35,33.0,35.0,1450.0,1560.0
Amherst College,10569,11.3,1410-1550,31-34,31.0,34.0,1410.0,1550.0
Barnard College,9320,11.8,1340-1520,31-34,31.0,34.0,1340.0,1520.0
Bates College,8222,12.1,1270-1480,29-33,29.0,33.0,1270.0,1480.0
University of California—​Los Angeles,111322,12.3,1290-1510,27-34,27.0,34.0,1290.0,1510.0
Tulane University,42185,12.9,1360-1520,31-33,31.0,33.0,1360.0,1520.0
University of Southern California,64352,13.0,1350-1530,30-34,30.0,34.0,1350.0,1530.0
Williams College,9560,13.0,1410-1550,32-35,32.0,35.0,1410.0,1550.0
Colby College,12313,13.0,1350-1510,31-33,31.0,33.0,1350.0,1510.0
Pitzer College,4358,13.3,1340-1490,30-33,30.0,33.0,1340.0,1490.0
Colorado College,9456,13.5,1300-1480,29-33,29.0,33.0,1300.0,1480.0
Harvey Mudd College,4045,13.7,1490-1570,33-35,33.0,35.0,1490.0,1570.0
Georgetown University,22872,14.5,1370-1530,31-34,31.0,34.0,1370.0,1530.0
University of California—​Berkeley,89621,14.8,1300-1530,28-34,28.0,34.0,1300.0,1530.0
Tufts University,22766,15.0,1390-1540,32-34,32.0,34.0,1390.0,1540.0
Washington University in St. Louis,31320,15.0,1470-1570,32-35,32.0,35.0,1470.0,1570.0
Middlebury College,9754,15.4,1360-1530,32-34,32.0,34.0,1360.0,1530.0
Carnegie Mellon University,27634,15.4,1460-1560,33-35,33.0,35.0,1460.0,1560.0
University of Notre Dame,22200,15.8,1400-1550,32-35,32.0,35.0,1400.0,1550.0
The Cooper Union,2447,16.0,1283-1510,31-34,31.0,34.0,1283.0,1510.0
New York University,79462,16.2,1370-1510,30-34,30.0,34.0,1370.0,1510.0
Haverford College,4963,16.3,1380-1540,32-34,32.0,34.0,1380.0,1540.0
Wesleyan University,13264,16.5,1320-1510,31-34,31.0,34.0,1320.0,1510.0
Hamilton College,8279,16.5,1370-1520,32-34,32.0,34.0,1370.0,1520.0
Northeastern University,62263,18.1,1390-1540,32-35,32.0,35.0,1390.0,1540.0
Davidson College,5982,18.1,1310-1485,30-33,30.0,33.0,1310.0,1485.0
Emory University,27559,18.5,1350-1520,31-34,31.0,34.0,1350.0,1520.0
Carleton College,7382,19.0,1360-1540,31-34,31.0,34.0,1360.0,1540.0
Georgia Institute of Technology,36856,20.6,1300-1510,29-34,29.0,34.0,1300.0,1510.0
Washington and Lee University,5855,21.2,1348-1490,31-34,31.0,34.0,1348.0,1490.0
